web-scraper-order,web-scraper-start-url,Title,Study Code,Lead Researcher,Study type,Institution or Company,Speciality area,Summary
1616638124-2806,https://bioresource.nihr.ac.uk/studies/?page=8#articles,"NDD, LHON - access Gene Docs application","Study code
DAA019","Lead researcher
Prof. Lucy Raymond","Study type
Data only","Institution or company
Cambridge University Hospitals NHS Foundation Trust","Speciality area
Children and Young People, Neurological Disorders",NA
1616638135-2811,https://bioresource.nihr.ac.uk/studies/?page=8#articles,NIHR BioResource access,"Study code
DAA013","Lead researcher
Chris Penkett","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases",NA
1616638122-2805,https://bioresource.nihr.ac.uk/studies/?page=8#articles,Genetic architecture of blood cell cytometry phenotypes,"Study code
DAA028","Lead researcher
Parsa Akbari","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases, Haematology",NA
1616638128-2808,https://bioresource.nihr.ac.uk/studies/?page=8#articles,Steroid resistant nephrotic syndrome (SRNS) - access to Gene Docs application,"Study code
DAA017","Lead researcher
Dr Amy Osborne","Study type
Data only","Institution or company
University of Bristol","Speciality area
Kidney Disorders",NA
1616638126-2807,https://bioresource.nihr.ac.uk/studies/?page=8#articles,Access request to Gene Docs application,"Study code
DAA018","Lead researcher
Floor Heubel-Moenen","Study type
Data only","Institution or company
Maastricht University Medical Center+, Masstricht","Speciality area
Genomics and Rare Diseases","Editor's note: ""Gene Docs"" is an application used by researchers analysing rare genetic variants at the University of Cambridge High Performance Computing Service."
1616638118-2803,https://bioresource.nihr.ac.uk/studies/?page=8#articles,COVID19 pneumonitis,"Study code
NBR73","Lead researcher
Dr Charles Crawley","Study type
Participant re-contact","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Respiratory Disorders",Coming soon
1616638103-2797,https://bioresource.nihr.ac.uk/studies/?page=9#articles,Complement activation to predict Sars-CoV-2 outcome,"Study code
NBR82","Lead researcher
Dr Richard Unwin","Study type
Samples and data","Institution or company
University of Manchester","Speciality area
Infection",coming soon
1616638113-2802,https://bioresource.nihr.ac.uk/studies/?page=9#articles,impaCt of bioLogic therApy on saRs-cov-2 Infection and immuniTY CLARITY,"Study code
NBR77","Lead researcher
Dr Tariq Ahmad","Study type
Participant re-contact","Institution or company
Royal Devon and Exeter NHS Foundation Trust","Speciality area
Infection",coming soon
1616638105-2798,https://bioresource.nihr.ac.uk/studies/?page=9#articles,Healthcare Worker Case Control COVID-19 Questionnaire,"Study code
NBR81","Lead researcher
Dan Cooper","Study type
Participant re-contact","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection",coming soon
1616638107-2799,https://bioresource.nihr.ac.uk/studies/?page=9#articles,Healthcare Worker COVID follow up,"Study code
NBR80","Lead researcher
Dan Cooper","Study type
Participant re-contact","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection",coming soon
1616638096-2794,https://bioresource.nihr.ac.uk/studies/?page=9#articles,Post-COVID-19 surveillance: To establish T cell assays for assessing T cell responses and identify individual and immunological factors that account for different disease outcomes,"Study code
NBR87","Lead researcher
Dr Nyarie Sithole","Study type
Samples and data","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection",coming soon
1616638098-2795,https://bioresource.nihr.ac.uk/studies/?page=9#articles,Healthcare Worker T Cell Recall,"Study code
NBR86","Lead researcher
Dr James Thaventhiran","Study type
Participant re-contact","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection",coming soon
1616638111-2801,https://bioresource.nihr.ac.uk/studies/?page=9#articles,HICC: Humoral Immune Correlates for COVID19: Defining protective Ab responses and critical readouts for Clinical Trials of Vaccines and Therapeutics,"Study code
NBR78","Lead researcher
Dr Helen Baxendale","Study type
Participant re-contact","Institution or company
Royal Papworth NHS Foundation Trust","Speciality area
Infection",Coming soon
1616638100-2796,https://bioresource.nihr.ac.uk/studies/?page=9#articles,Determining risk for extravascular haemolysis in paroxysmal nocturnal haemoglobinuria patients treated with eculizumab,"Study code
NBR84","Lead researcher
Professor Claire Harris","Study type
Participant re-contact","Institution or company
Newcastle University","Speciality area
Haematology, Infection",coming soon
1616638109-2800,https://bioresource.nihr.ac.uk/studies/?page=9#articles,Defining the therapeutic potential of CD25 (IL2-R) blockade as a novel treatment for genetically stratified Crohn’s disease patients,"Study code
NBR79","Lead researcher
Professor Graham Lord","Study type
Participant re-contact","Institution or company
King's College London","Speciality area
Gastroenterology",coming soon
