web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,B Number and Title,B number,Principal applicant name,Co-applicants,Title of project,Proposal summary,Impact of research,Date proposal received,Date proposal approved,Keywords
1616720403-206,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=131,B167 - Fat or big bones  Bio-electrical impedance in childhood as a measure of lean and fat mass - 01/05/2004,https://proposals.epi.bristol.ac.uk/?q=node/127208,B167 - Fat or big bones  Bio-electrical impedance in childhood as a measure of lean and fat mass - 01/05/2004,B167,"Dr Charlotte M Wright (University of Glasgow, UK)",,Fat or big bones?  Bio-electrical impedance in childhood as a measure of lean and fat mass.,"Obesity in childhood is increasing, and if unchecked, will lead to a new epidemic of heart disease in the future. We need to know when obesity begins and why, but measuring weight cannot distinguish healthy, muscular children from those that who are obese. Bioelectric impedance uses the body's electrical resistance to estimate body fatness, but at present, it is not widely used in childhood, as we know little about what is normal at different ages. We will use measurements from two large studies to define the normal range for lean and fat tissue and find out how these relate to infant feeding, growth and physical fitness.",null,"Saturday, 1 May, 2004","Saturday, 1 May, 2004","Endocrine, Growth, Obesity, Weight"
1616722892-1229,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=82,B1440 - Core Renewal Bid 2014-2019 - 20/09/2012,https://proposals.epi.bristol.ac.uk/?q=node/126189,B1440 - Core Renewal Bid 2014-2019 - 20/09/2012,B1440,"(Not used 0, Not used 0)",,Core Renewal Bid 2014-2019.,Not available,null,"Thursday, 20 September, 2012","Thursday, 20 September, 2012",
1616723780-1573,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=63,B2282 - Early life/adolescent influences on STI outcomes - 07/08/2014,https://proposals.epi.bristol.ac.uk/?q=node/125829,B2282 - Early life/adolescent influences on STI outcomes - 07/08/2014,B2282,"Dr Artemis  Koukounari (King's College London, UK)","Prof Andrew  Pickles (King's College London, UK), Prof John  Macleod (University of Bristol, UK), Prof Kate  Tilling (University of Bristol, UK), Dr Katy  Turner (University of Bristol, UK)",Early life/adolescent influences on STI outcomes.,Aim/Objectives:,null,"Wednesday, 6 August, 2014","Thursday, 7 August, 2014","Parenting, Risk Behaviour"
1616724780-1960,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=44,B2759 - Sex differences in epigenetic correlates of depression trajectories - 03/04/2017,https://proposals.epi.bristol.ac.uk/?q=node/127586,B2759 - Sex differences in epigenetic correlates of depression trajectories - 03/04/2017,B2759,Izabela Milaniak | University of Pennsylvania (United States),Miss Izabela Milaniak,Sex differences in epigenetic correlates of depression trajectories,"Depression is the leading cause of disability in the United States and represents a major public health burden. The proposed research focuses on epigenetic markers of depression because these are potential mechanisms by which environmental exposures during critical periods of development alter the expression of genes related to behaviors, affective states, and cognitions that increase vulnerability for depression. We aim to identify epigenetic correlates of depression symptom trajectories that are predicted to vary in terms of their severity and course across adolescence and to test whether these epigenetic differences partly explain emerging sex differences in the prevalence of depression in adolescence. Moving beyond a candidate gene, cross-sectional approach, we propose to prospectively examine the extent to which DNA methylation profiles at two sensitive points in development – birth and adolescence – are associated with trajectories of depression symptoms from early to late adolescence.",null,"Friday, 7 October, 2016","Monday, 17 October, 2016","Genetics, Mental health, Epigenetics, Genetics - e.g. epigenetics, mendelian randomisation, UK10K, sequencing, etc., depression"
1616723477-1455,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=70,B2156 - Data mining of NMR metabolomics analysis of ALSPAC Child Mother and Fathers samples - 06/02/2014,https://proposals.epi.bristol.ac.uk/?q=node/125948,B2156 - Data mining of NMR metabolomics analysis of ALSPAC Child Mother and Fathers samples - 06/02/2014,B2156,"Dr Fotios  Drenos (University of Bristol, UK)","Prof Mika  Ala-Korpela (University of Oulu, Europe), Prof George  Davey Smith (University of Bristol, UK), Prof Debbie A Lawlor (University of Bristol, UK)","Data mining of NMR metabolomics analysis of ALSPAC Child, Mother and Father's samples.",Aims: To identify association between the available variables and the measured metabolites in order to facilitate hypothesis generation.,null,"Wednesday, 29 January, 2014","Thursday, 6 February, 2014",Data mining
1616723763-1567,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=64,B2276 - Bivariate genome-wide association study of birth weight and endophenotypes related to five diseases in later life - 24/07/2014,https://proposals.epi.bristol.ac.uk/?q=node/125835,B2276 - Bivariate genome-wide association study of birth weight and endophenotypes related to five diseases in later life - 24/07/2014,B2276,"Dr Dave  Evans (University of Bristol, UK)","Dr Nicole  Warrington (University of Queensland, Australia, ROW), Prof John  Newnham (University of Western Australia, ROW), Prof Craig  Pennell (University of Queensland, Australia, ROW), Prof George  Davey Smith (University of Bristol, UK), Prof Debbie A Lawlor (University of Bristol, UK)",Bivariate genome-wide association study of birth weight and endophenotypes related to five diseases in later life.,AIMS:,null,"Monday, 21 July, 2014","Thursday, 24 July, 2014","Birth Outcomes, Disease"
1616726958-2817,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=0,B3728 - Assessing individual susceptibility to changes in sleep during the COVID-19 lockdown - 12/03/2021,https://proposals.epi.bristol.ac.uk/?q=node/130317,B3728 - Assessing individual susceptibility to changes in sleep during the COVID-19 lockdown - 12/03/2021,B3728,Rebecca Richmond | University of Bristol (United Kingdom),Miss Bryony Hayes,Assessing individual susceptibility to changes in sleep during the COVID-19 lockdown,"Stay-at-home orders during the COVID-19 pandemic have had a major impact on people's usual routines, including their sleeping patterns. Recent studies have demonstrated that relaxed work schedules and more time spent at home have meant that the timing of sleep has become more regular, with less ""social jetlag"" (the discrepancy in sleep timing between working and non-working days) (1). Nonetheless, there are also been reports in a decline in sleep quality based on self-reported data (2). The factors which influence individual's susceptibility to altered sleep patterns during the pandemic have not been fully investigated. Within the Avon Longitudinal Study of Parents and Children (ALSPAC), parents and young people (YP) were asked to report whether their amount of sleep had decreased, stayed the same, or increased during lockdown. They were also asked to record any difficulty sleeping.","Identifying lifestyle or genetic predictors of changes in sleep during lockdown, could be useful for identifying or risk-stratifying those individuals most susceptible to sleep disruption.","Tuesday, 9 March, 2021","Friday, 12 March, 2021","Genetic epidemiology (including association studies and mendelian randomisation), Sleep traits such as insomnia and sleep duration, GWAS, Statistical methods, Genetic epidemiology, Genetics, Genomics, Genome wide association study, Methods - e.g. cross cohort analysis, data mining, mendelian randomisation, etc., Sleep, Statistical methods"
1616726389-2593,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=11,B3485 - Polygenic risk score prediction of BMI/adiposity/obesity in ALPSAC and longitudinal outcome data - 24/03/2020,https://proposals.epi.bristol.ac.uk/?q=node/130079,B3485 - Polygenic risk score prediction of BMI/adiposity/obesity in ALPSAC and longitudinal outcome data - 24/03/2020,B3485,Nicholas Timpson | University of Bristol (UK),"Dr Kaitlin Wade, Professor Ruth Loos, Dr Roelof Smit",Polygenic risk score prediction of BMI/adiposity/obesity in ALPSAC and longitudinal outcome data,null,,"Tuesday, 24 March, 2020","Tuesday, 24 March, 2020","Genetic epidemiology (including association studies and mendelian randomisation), Obesity, Statistical methods, BMI"
1616725047-2064,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=38,B2881 - Understanding the Antecedents and Outcomes of Adolescent Cannabis Use Trajectories - 23/05/2017,https://proposals.epi.bristol.ac.uk/?q=node/127490,B2881 - Understanding the Antecedents and Outcomes of Adolescent Cannabis Use Trajectories - 23/05/2017,B2881,Lindsey Hines | King's College London (to be affiliated with University of Bristol if fellowship application is successful),"Professor Matthew Hickman, Professor Stanley Zammit, Dr Paul Moran, Dr Jon Heron",Understanding the Antecedents and Outcomes of Adolescent Cannabis Use Trajectories,"Globally, cannabis is the most commonly used illicit drug. As cannabis policy is liberalising, there is an expected increase in adolescent use. This introduces an urgent need to understand what underlies harmful use, and to understand if cannabis plays a role in mental health disorder development. A key consideration in understanding the health impacts of cannabis is frequency of use. Cannabis dependence, characterised by loss of control over use and poor health and social functioning is more likely with frequent use. Yet, we know little about what factors determine frequency of use (and thus likelihood of related harm) among adolescents; a group in which use is high (40-70% prevalence), and for whom frequent use may lead to particularly poor mental health outcomes, including depression and anxiety

This fellowship will investigate trajectories of cannabis use among adolescents in the general population, exploring the role of Early Life Stress (ELS; a consistent correlate of use and dependence) in frequent cannabis use.",null,"Wednesday, 3 May, 2017","Wednesday, 10 May, 2017",Epidemiology
1616720731-337,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=124,B365 - Obstretic Events and Subsequent Gynaecological Consequences - Feasibility Study - 05/06/2006,https://proposals.epi.bristol.ac.uk/?q=node/127062,B365 - Obstretic Events and Subsequent Gynaecological Consequences - Feasibility Study - 05/06/2006,B365,"Miss Karen  Birmingham (University of Bristol, UK)","Prof Jean  Golding (University of Bristol, UK), Dr Jon  Heron (University of Bristol, UK),  M  Quinn (Not used 0, Not used 0)",Obstretic Events and Subsequent Gynaecological Consequences - Feasibility Study.,"Denervation of pelvic organs taking place at vaginal delivery results in subsequent reinnervation and wide-ranging gynaecological symptoms e.g. vulvodynia, dyspareunia, chronic pelvic pain, irritative bladder symptoms, rectal hypersensitivity, menorrhagia and dysmenorrhoea (1-12). All benign myometrial pathology e.g. endometriosis, adenomyosis, leiomyomata, etc. has specific neural abnormalities in the spectrum of denervation-reinnervation (4-7). Reinnervation, in several different patterns, has been described in every female pelvic organ often in association with a prior history of difficult vaginal delivery including premature, or prolonged, maternal voluntary efforts (8-12).",null,"Monday, 5 June, 2006","Monday, 5 June, 2006","Obstetrics, Pregnancy"
1616726798-2754,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=3,B3662 - Does opting in or out affect the take up of incentives in a long running population-based cohort study A nested randomised tria - 24/11/2020,https://proposals.epi.bristol.ac.uk/?q=node/130251,B3662 - Does opting in or out affect the take up of incentives in a long running population-based cohort study A nested randomised tria - 24/11/2020,B3662,"Kate Northstone | University of Bristol, UK (United Kingdom)",Dr Dan Smith,Does opting in or out affect the take up of incentives in a long running population-based cohort study: A nested randomised tria,"Effective strategies are critical to engage and retain participants of long term studies. A recent systematic review identified that the most common retention strategy employed was a cash/voucher incentive (59/95 studies reviewed)1. The Avon Longitudinal Study of Parents and Children has been collecting data annually from participants for over 30 years.  Participants (parents and their offspring now aged ~28) are offered a £10 high street shopping voucher to complete our annual questionnaires.  Across those generations we would anticipate upwards of 10,000 completed questionnaires.  This comes at a substantial financial burden of over £100,000.  Anecdotally, we are aware that some participants do not use their voucher once claimed or would be happy to complete regardless. The study has always provided an opt-out option for participants to indicate that they do not wish to receive their voucher, however, we were interested to see whether an opt-in option could introduce cost saving.  We therefore randomised participants receiving invitations to complete the last annual questionnaire (late 2019/early 2020) to opt-out of receiving their voucher or to opt-in.",,"Friday, 20 November, 2020","Tuesday, 24 November, 2020","Epidemiology, cohort study management"
1616722789-1189,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=84,B1387 - GWAS on asthma and hay fever - 21/06/2012,https://proposals.epi.bristol.ac.uk/?q=node/126233,B1387 - GWAS on asthma and hay fever - 21/06/2012,B1387,"Manuel  Ferreira (Royal Brisbane Hospital, ROW)","Dr Raquel  Granell (University of Bristol, UK), Dr Dave  Evans (University of Bristol, UK), Prof John  Henderson (University of Bristol, UK)",GWAS on asthma and hay fever,Aim: To carry out a genome-wide association study that takes into account not just lifetime asthma status but also the presence of hayfever.,null,"Thursday, 21 June, 2012","Thursday, 21 June, 2012","Asthma, Genetics"
1616720756-348,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=124,B385 - Associations in the Diet and Physical Activity Patterns of 11 year old Children Avon Longitudinal Study of Parents and Children - 07/07/2006,https://proposals.epi.bristol.ac.uk/?q=node/127047,B385 - Associations in the Diet and Physical Activity Patterns of 11 year old Children Avon Longitudinal Study of Parents and Children - 07/07/2006,B385,"Prof Russ  Jago (University of Bristol, UK)",,Associations in the Diet and Physical Activity Patterns of 11 year old Children: Avon Longitudinal Study of Parents and Children.,(No outline received).,null,"Friday, 7 July, 2006","Friday, 7 July, 2006","Diet, Physical Activity, Exercise & Fitness, Eating disorders"
1616725223-2134,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=35,B2959 - Replication of a novel genetic variant associated with dental development - 27/09/2017,https://proposals.epi.bristol.ac.uk/?q=node/127421,B2959 - Replication of a novel genetic variant associated with dental development - 27/09/2017,B2959,Simon Haworth | MRC Integrative Epidemiology Unit (United Kingdom),Mr Simon Haworth,Replication of a novel genetic variant associated with dental development,"Dental development begins between the sixth and eighth week of pregnancy. Teeth start to form inside the jaws long before moving to become visible inside the mouth in a process called eruption. The teeth of some children erupt earlier or later than others, and it appears that genetics play a part in regulating this process. The number of teeth in the mouth at age 15 months provides a simple measure of how far children have advanced in their dental development compared to other children the same age, and this data was used some years ago in ALSPAC to identify genetic variants which influence dental development. A collaborating research centre in the Netherlands has identified a genetic variant which they believe alters tooth eruption. Before publishing this finding they have asked us to check whether this variant has a similar effect on tooth eruption in ALSPAC, and cannot do this using the existing published results from ALSPAC as this particular genetic variant was not included in the previous study. We plan to test for association between this genetic variant and number of teeth at 15 months in ALSPAC.",null,"Friday, 22 September, 2017","Monday, 25 September, 2017","Dentistry, Dental development, Gene mapping, Development, Dental, Genetics - e.g. epigenetics, mendelian randomisation, UK10K, sequencing, etc."
1616725708-2325,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=25,B3203 - A hypothesis-free approach to identify DNA sequences regulating geneenvironment interaction GxE in programming adult response - 08/11/2018,https://proposals.epi.bristol.ac.uk/?q=node/129810,B3203 - A hypothesis-free approach to identify DNA sequences regulating geneenvironment interaction GxE in programming adult response - 08/11/2018,B3203,Chris Murgatroyd | Manchester Metropolitan University  (UK),"Dr Alasdair Mackenzie, Dr Reinmar Hager, Dr Umar Toseeb",A hypothesis-free approach to identify DNA sequences regulating gene–environment interaction (GxE) in programming adult response,"Understanding how genetic variations interact with an environmental exposure (GxE) is a critical step in predicting long-term health. For example, genetic differences between individuals influence the likelihood to develop adult mental health disorders triggered by adversity in early-life. The development of such disorders is hypothesized to be linked to environmentally-induced epigenetic modifica-tions, such as DNA methylation, at regulatory regions of genes linked to adult stress responses. DNA variations (polymorphisms) between individuals at these key regions could determine those sensitive to developing long-term effects following early-life adversity. However, it is difficult to identify these key regulatory regions in humans as we are all uniquely individual both genetically and environmentally.

We will develop and test a strategy to discover polymorphisms regulating GxE using a translational mouse model to control for genetic variation under a regulated environment together with an integrated genetic and epigenetic genome-wide approach. As proof of principle we will perform association studies with polymorphisms and DNA methylation at homologous regions in the longitudinal ALSPAC study of early environmental outcomes.","we envisage our mouse study would enable a genome-wide hypothesis-free discovery of GxE interactions. If these candidate GxE loci can be tested in the ALSPAC, this combination would enable a novel strategy to discovery of genetic variations underlying risk for mental health.","Tuesday, 6 November, 2018","Thursday, 8 November, 2018","Molecular genetics and genomics, Mental health, GWAS, Childhood - childcare, childhood adversity, Epigenetics, Genome wide association study"
1616726960-2818,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=0,B3729 - Growing up in deprivation or threat A network decision tree approach to the timing of early adversity - 12/03/2021,https://proposals.epi.bristol.ac.uk/?q=node/130316,B3729 - Growing up in deprivation or threat A network decision tree approach to the timing of early adversity - 12/03/2021,B3729,Duncan Astle | University of Cambridge (United Kingdom),"Sofia Carozza, Dr Joni Holmes",Growing up in deprivation or threat: A network decision tree approach to the timing of early adversity,"Early life adversity can have a profound impact on children's cognitive development. But is that association specific or general? We want to test whether adversities group according to their type, and whether the longitudinal impact of different types of adversity are associated with different kinds of negative outcome.",,"Monday, 8 March, 2021","Friday, 12 March, 2021","Mental health - Psychology, Psychiatry, Cognition, Mental health, Statistical methods, Childhood - childcare, childhood adversity"
1616723919-1628,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=61,B2358 - Study of Emerging Adulthood and Cardiometabolic Health in ALSPAC the iNfluence of Growth and other Exposures-SEACHANGE - 18/12/2014,https://proposals.epi.bristol.ac.uk/?q=node/125770,B2358 - Study of Emerging Adulthood and Cardiometabolic Health in ALSPAC the iNfluence of Growth and other Exposures-SEACHANGE - 18/12/2014,B2358,"Prof Alun  Hughes (Imperial College London, UK)","Marietta   Charakida (UCL, IRIS, UK), Prof George  Davey Smith (University of Bristol, UK)",Study of Emerging Adulthood and Cardiometabolic Health in ALSPAC: the iNfluence of Growth and other Exposures-SEACHANGE,Hypothisis,null,"Thursday, 11 December, 2014","Thursday, 18 December, 2014",Growth
1616722012-889,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=99,B972 - Statistical modelling of longitudinal data from cohort studies to better understand phenotypes of asthma - 23/06/2010,https://proposals.epi.bristol.ac.uk/?q=node/126570,B972 - Statistical modelling of longitudinal data from cohort studies to better understand phenotypes of asthma - 23/06/2010,B972,"Dr Raquel  Granell (University of Bristol, UK)","Prof John  Henderson (Not used 0, Not used 0), Prof Jonathan  Sterne (Not used 0, Not used 0)",Statistical modelling of longitudinal data from cohort studies to better understand phenotypes of asthma,Objectives,null,"Wednesday, 23 June, 2010","Wednesday, 23 June, 2010","Allergies, Respiratory, Atopy"
1616726172-2508,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=16,B3398 - Predicting Childhood Language Disorder and Ability using Genome-Wide Polygenic Scores - 28/10/2019,https://proposals.epi.bristol.ac.uk/?q=node/129996,B3398 - Predicting Childhood Language Disorder and Ability using Genome-Wide Polygenic Scores - 28/10/2019,B3398,Umar Toseeb | University of York,"Dr Dianne Newbury, Dr Kathryn Asbury",Predicting Childhood Language Disorder and Ability using Genome-Wide Polygenic Scores,"Language is vital for social-emotional development during childhood and it is unsurprising, therefore, that language disorder is associated with a number of mental difficulties including symptoms of depression and anxiety.  There is sound evidence for the heritability of language traits in children, but little is known about the specific genetic variants that explain this heritability.  Identifying such markers will enhance understanding of the aetiology of mental health difficulties in those with language disorder and could inform early interventions designed to prevent adverse outcomes and improve quality of life in the most vulnerable children. The proposed project will assess the extent to which a number of different genome-wide polygenic scores (GPS) can predict language ability, including language disorder, in clinical and population-based samples.","Currently, it is difficult to identify children with language disorders until aged 4-5 years old because language is unpredictable before then.  This is not ideal.  We hope that the proposal will be a major step towards genetic screening for risk of language disorders, which may ultimately allow for interventions to be put in place much earlier than is currently possible.","Thursday, 24 October, 2019","Monday, 28 October, 2019","Genetic epidemiology (including association studies and mendelian randomisation), Speech/language problem, GWAS, Development, Genetics, Genomics, Genome wide association study, Speech and language"
1616720275-154,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=133,B96 - Asthma treatment with inhaled corticosteroids and bone mineral density in children - 01/02/2003,https://proposals.epi.bristol.ac.uk/?q=node/127261,B96 - Asthma treatment with inhaled corticosteroids and bone mineral density in children - 01/02/2003,B96,"Prof John  Henderson (University of Bristol, UK)",,"Asthma, treatment with inhaled corticosteroids and bone mineral density in children.",(No outline received).,null,"Saturday, 1 February, 2003","Saturday, 1 February, 2003","Allergies, Asthma, Bones, Respiratory, Atopy"
1616726469-2625,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=10,B3518 - Using a machine learning approach to develop and validate a prediction model for the onset of hypomania - 12/05/2020,https://proposals.epi.bristol.ac.uk/?q=node/130120,B3518 - Using a machine learning approach to develop and validate a prediction model for the onset of hypomania - 12/05/2020,B3518,Steven Marwaha | University of Birmingham,"Dr Pavan Mallikarjun, Dr Sam Leighton, Miss Danielle Hett, Professor Daniel Smith, Mr Joey Ward",Using a machine learning approach to develop and validate a prediction model for the onset of hypomania,"Bipolar disorder (BD) is a debilitating mental health condition, characterised by severe shifts in mood, that can range from disabling highs (i.e., mania/hypomania) to extreme lows (i.e., depression). Approximately 1% of the population are affected by bipolar (Pini et al., 2005), with most people experiencing the onset of mood symptoms prior to their 20s (Geoffroy et al., 2013). Despite this, little is known about the predictors to bipolar disorder and hypomania symptoms, particularly among young people. Intervening early in the development of bipolar is a top clinical priority, and one that may have the potential to limit its functional and symptomatic impact on those affected. Thus, predicting the onset of bipolar/hypomania prior to its onset, may help clinicians/researchers to develop novel, tailored preventative strategies and interventions for young people.","These results will have direct clinical implications for young people who wish to know their risk of developing hypomania, a strong signal of bipolar disorder. Currently, due to the overlap in symptoms, people presenting with bipolar symptoms are often being managed within early intervention services developed for the treatment of psychosis. This could be preventing young people presenting with bipolar symptoms from receiving adequate diagnosis and appropriate treatments early on in their care. Indeed, research suggests that, compared to out-patient treatment, early intervention may be a more clinically and cost-effective tool in managing bipolar. Thus, developing a prediction model for the onset of bipolar, novel preventative/ early intervention programmes— that are tailored to young people specifically—can be developed. This research remains a key clinical priority and will ultimately help towards reducing the psychological suffering of those with bipolar disorder. A prediction model could also enable clinicians to avoid potentially harmful treatments for people at heightened risk of bipolar, such as antidepressants which are known to trigger hypomania in people who are vulnerable to the condition.","Monday, 27 April, 2020","Friday, 1 May, 2020","Mental health - Psychology, Psychiatry, Cognition, Mental health, Statistical methods, Statistical methods"
1616720263-150,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=134,B291 - Developing access to the Avon Longitudinal Study of Parents and Children a scoping study - 01/01/2003,https://proposals.epi.bristol.ac.uk/?q=node/127122,B291 - Developing access to the Avon Longitudinal Study of Parents and Children a scoping study - 01/01/2003,B291,"Prof Jean  Golding (University of Bristol, UK)","Dr Leon  Feinstein (Early Intervention Foundation, UK), Prof George  Davey Smith (University of Bristol, UK)",Developing access to the Avon Longitudinal Study of Parents and Children: a scoping study.,,null,"Wednesday, 1 January, 2003","Wednesday, 1 January, 2003",Cross Cohort Study
1616726491-2633,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=9,B3531 - Socioeconomic inequalities in mental health and cognitive trajectories - 07/05/2020,https://proposals.epi.bristol.ac.uk/?q=node/130118,B3531 - Socioeconomic inequalities in mental health and cognitive trajectories - 07/05/2020,B3531,Tim Cadman | University of Bristol (UK),"Deborah Lawlor, Laura Howe, Kate Northstone",Socioeconomic inequalities in mental health and cognitive trajectories,"Whilst it is established that children of lower socioeconomic position (SEP) generally have worse mental health outcomes, most existing research is cross-sectional. Longitudinal studies are important for understanding when inequalities first emerge and the course they take (e.g. stable, widening or decreasing). Whilst longitudinal approaches are now commonly used to model inequalities in height and weight they have rarely been used for mental health outcomes. The aim of this project is use data from multiple EU studies to describe how inequalities in key mental health and cognitive outcomes emerge across childhood.","Greater understanding of how socioeconomic inequalities emerge across childhood, which outcomes show greater social patterning and how inequalities differ across Europe","Wednesday, 6 May, 2020","Thursday, 7 May, 2020","Epidemiology, Behaviour - e.g. antisocial behaviour, risk behaviour, etc., Developmental disorders - autism, Mental health, Statistical methods, Childhood - childcare, childhood adversity, Development"
1616723904-1622,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=61,B2355 - Effects of early life residential mobility and key life events on mental health and risky behaviours - 11/12/2014,https://proposals.epi.bristol.ac.uk/?q=node/125773,B2355 - Effects of early life residential mobility and key life events on mental health and risky behaviours - 11/12/2014,B2355,"Mr Tim  Morris (University of Bristol, UK)","Professor Clive  Sabel (University of Bristol, UK), Dr David  Manley (University of Bristol, UK), Dr Kate  Northstone (University of Bristol, UK)",Effects of early life residential mobility and key life events on mental health and risky behaviours,Project title,null,"Wednesday, 10 December, 2014","Thursday, 11 December, 2014","Mental Health, Risk Behaviour"
1616722951-1251,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=80,B1469 - Long-term effects of infant sleeping position - 22/11/2012,https://proposals.epi.bristol.ac.uk/?q=node/126166,B1469 - Long-term effects of infant sleeping position - 22/11/2012,B1469,"Prof Jean  Golding (University of Bristol, UK)","Dr Peter  Blair (University of Bristol, UK), Prof Alan  Emond (University of Bristol, UK)",Long-term effects of infant sleeping position.,Aims: To determine whether sleeping position in the first 6 months is associated with long-term phenotypic changes.,null,"Thursday, 22 November, 2012","Thursday, 22 November, 2012","Sleeping Positions, Moto Co-ordination, Motor Co-ordination"
1616723543-1480,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=68,B2192 - Development of health risk in childhood and adolescence Gene-environment interactions and its underlying mechanisms - 27/02/2014,https://proposals.epi.bristol.ac.uk/?q=node/125912,B2192 - Development of health risk in childhood and adolescence Gene-environment interactions and its underlying mechanisms - 27/02/2014,B2192,"Dr Geertjan  Overbeek (University of Amsterdam, Europe)","Dr Tanja  Vrijkotte (Vrije Universiteit, Amsterdam, Europe)",Development of health risk in childhood and adolescence: Gene-environment interactions and its underlying mechanisms.,AIMS:,null,"Tuesday, 25 February, 2014","Thursday, 27 February, 2014","Genetics, Personality"
1616723899-1620,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=61,B2349 - Identifying Parent -of -origin effects POE on birth weight - 04/12/2014,https://proposals.epi.bristol.ac.uk/?q=node/125778,B2349 - Identifying Parent -of -origin effects POE on birth weight - 04/12/2014,B2349,"Dr Rachel  Freathy (University of Exeter, UK)",,Identifying Parent -of -origin effects (POE) on birth weight,"Aim: to replicate genetic associations showing parent-of-origin effects (POE) on birth weight, following initial analysis of UK Biobank data.",null,"Thursday, 27 November, 2014","Thursday, 4 December, 2014","GWAS, Birth weight"
1616726967-2821,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=0,B3736 - Lifecycle The role of maternal eating disorders in childhood wheezing asthma and lung function - 15/03/2021,https://proposals.epi.bristol.ac.uk/?q=node/130319,B3736 - Lifecycle The role of maternal eating disorders in childhood wheezing asthma and lung function - 15/03/2021,B3736,"Maja Popovic | University of Turin, Department of Medical Sciences (Italy)",Prof Lorenzo Richiardi,"Lifecycle: The role of maternal eating disorders in childhood wheezing, asthma and lung function","Maternal mental disorders have been shown to influence foetal development, increase the risk of pregnancy complications, and the risk of several perinatal and childhood outcomes, including wheezing and asthma. To date asthma research has been predominantly focused on the most frequent mental disorders, such as depression and anxiety, showing that these two disorders and broadly-defined maternal stress increase the risk of childhood respiratory diseases, most likely through the activation of the hypothalamic-pituitary-adrenal axis. The low prevalence of eating disorders, especially during pregnancy, makes challenging single study analyses, and collaborative projects that involve birth cohorts with prospectively collected data represent the best setting for elucidating the association between maternal eating disorders and childhood respiratory outcomes. In this project we will estimate the associations of maternal lifetime eating disorders with childhood preschool and school-age wheezing and asthma, and with childhood/adolescent lung function in several cohorts participating in the EU Child Cohort Network.","Eating disorders are characterized by severe disturbances in eating behavior that significantly impact an individual’s emotional, psychosocial and physical well-being. The literature suggests that maternal eating disorders negatively influence child growth, feeding behaviors, cognitive and psychological development, while less is known on childhood respiratory outcomes. This study will add to the existing knowledge on the associations between maternal eating disorders and childhood outcomes and increase the knowledge on the effect of eating disorders independent of other mental health comorbidities, including depression and anxiety. We aim to move forward and explore the potential mediating pathways, focusing in particular on some modifiable factors during early childhood, including breastfeeding and daycare attendance.","Wednesday, 10 March, 2021","Monday, 15 March, 2021","Epidemiology, Respiratory - asthma, Asthma, Wheezing, Eating disorders, Mental health"
